location,year,month,day,properties_sold,avg_price,avg_sqr_ft,walk_score,interest_score,pop_increase,city_investment,private_investment
Trinity-Bellwoods,2014,January,,2,3.99,581,1.5390000000000001,0.0,0.0,6237.168000000001,17817.744000000002
West Humber-Clairville,2014,January,,4,2.793,668,0.399,2.8,197.50500000000002,2498.538,7184.793000000001
Mount Olive-Silverstone-Jamestown,2014,January,,6,3.591,621,0.5763333333333334,0.9142857142857143,79.80000000000001,2215.647,12813.087000000001
Humber Summit,2014,January,,8,3.99,625,1.346625,2.153846153846154,46.284000000000006,2087.568,24354.960000000003
Thistletown-Beaumond Heights,2014,January,,5,2.793,793,1.4463750000000002,0.5172413793103449,239.40000000000003,7391.475,22205.148
Humbermede,2014,January,,6,2.793,774,1.368,0.8205128205128205,55.86,5615.127,10474.548
Rexdale-Kipling,2014,January,,4,3.99,604,0.5700000000000001,0.6666666666666666,126.084,5364.555,22786.491
Elms-Old Rexdale,2014,January,,6,3.591,522,1.0473750000000002,2.571428571428571,31.521,4134.837,1912.008
Pelmo Park-Humberlea,2014,January,,5,3.99,509,0.171,0.967741935483871,7.98,6078.765,5516.175
Downsview-Roding-CFB,2014,January,,3,2.793,708,0.044333333333333336,0.6857142857142857,69.825,7389.081,1579.641
Kingsview Village-The Westway,2014,January,,6,2.394,777,0.456,2.1052631578947367,122.89200000000001,4443.6630000000005,19279.281000000003
Weston,2014,January,,8,2.394,609,0.532,4.0,25.137,2304.225,760.494
Rustic,2014,January,,5,2.394,771,0.5700000000000001,4.666666666666666,9.576,636.8040000000001,14678.013
Humber Heights-Westmount,2014,January,,4,2.394,696,1.4463750000000002,1.7142857142857142,130.872,392.21700000000004,14329.686000000002
Brookhaven-Amesbury,2014,January,,2,2.394,751,0.7410000000000001,2.1,33.516000000000005,123.69000000000001,7254.219
Mount Dennis,2014,January,,7,1.596,607,0.3546666666666667,2.0,198.70200000000003,2729.1600000000003,1710.5130000000001
Willowridge-Martingrove-Richview,2014,January,,2,3.99,566,1.064,1.4000000000000001,46.683,476.805,22392.678
Princess-Rosethorn,2014,January,,1,1.596,604,1.2413333333333334,0.38461538461538464,31.92,7268.184,14667.240000000002
Eringate-Centennial-West Deane,2014,January,,8,1.995,696,0.89775,1.5,8.379000000000001,6840.456,20014.638000000003
Edenbridge-Humber Valley,2014,January,,3,2.394,603,1.254,2.8421052631578947,78.20400000000001,270.123,6818.511
Rockcliffe-Smythe,2014,January,,4,2.394,705,1.425,0.16666666666666666,30.324,3690.351,21613.032000000003
Markland Woods,2014,January,,2,1.596,735,0.342,1.3636363636363638,186.732,470.82000000000005,2982.924
Etobicoke West Mall,2014,January,,1,3.591,521,0.7536666666666667,0.4,43.89,868.224,14984.445000000002
Islington-City Centre West,2014,January,,6,3.192,782,1.2413333333333334,0.0,61.047,1814.2530000000002,6237.567
Alderwood,2014,January,,2,2.793,798,0.7410000000000001,0.96,121.69500000000001,2085.5730000000003,13507.746000000001
Long Branch,2014,January,,4,2.793,735,0.1995,3.3333333333333335,239.40000000000003,2247.966,7902.195000000001
New Toronto,2014,January,,2,3.591,717,0.399,0.0,58.254000000000005,2503.725,10852.800000000001
Mimico,2014,January,,8,3.99,565,0.798,0.2702702702702703,51.072,4824.309,8534.61
Stonegate-Queensway,2014,January,,2,2.793,686,1.0473750000000002,1.894736842105263,30.324,6327.342000000001,21345.303
Kingsway South,2014,January,,2,2.793,575,0.456,0.8333333333333333,0.0,6895.917,14672.427000000001
Lambton Baby Point,2014,January,,1,3.99,751,0.9975,0.03333333333333333,26.733,3530.3520000000003,21620.214
High Park-Swansea,2014,January,,6,3.591,781,0.228,0.9142857142857143,0.0,5604.354,19018.734
Runnymede-Bloor West Village,2014,January,,2,1.995,730,0.798,0.18421052631578946,56.259,4089.75,5711.685
High Park North,2014,January,,4,2.394,622,0.49875,0.625,18.354,970.368,81.795
Junction Area,2014,January,,4,2.394,541,0.1995,0.0,46.284000000000006,4944.408,1045.779
Roncesvalles,2014,January,,4,2.394,704,1.3965,1.037037037037037,43.092,5712.084000000001,5428.395
South Parkdale,2014,January,,6,3.99,583,0.49875,0.07692307692307693,179.55,1912.008,3144.5190000000002
Dufferin Grove,2014,January,,3,2.793,778,0.448875,2.25,77.406,5010.243,17269.917
Little Portugal,2014,January,,8,2.394,661,1.6530000000000002,0.12121212121212122,191.52,8039.451,19165.167
Dovercourt-Wallace Emerson-Juncti,2014,January,,2,3.591,532,1.596,0.4,57.456,2103.927,18300.933
Niagara,2014,January,,6,1.995,673,1.49625,2.333333333333333,31.92,1549.7160000000001,19586.91
Weston-Pellam Park,2014,January,,6,1.995,638,0.548625,1.696969696969697,33.516000000000005,4833.486,21857.619000000002
Palmerston-Little Italy,2014,January,,6,2.394,582,1.0196666666666667,0.36,35.910000000000004,1041.789,2774.646
University,2014,January,,2,3.192,736,0.28500000000000003,2.3333333333333335,35.910000000000004,7730.625,22343.202
Kensington-Chinatown,2014,January,,5,1.596,534,0.399,0.9130434782608696,105.73500000000001,7027.188,23606.835000000003
Waterfront Communities-The Island,2014,January,,2,2.394,673,0.648375,2.8421052631578947,114.912,3863.1180000000004,21585.102000000003
Annex,2014,January,,3,1.995,633,0.9753333333333335,0.0,77.805,578.1510000000001,5915.175
Wychwood,2014,January,,2,2.394,592,0.342,0.3684210526315789,0.0,4011.945,6097.119000000001
Corsa Italia-Davenport,2014,January,,3,3.591,526,0.399,1.0,165.186,2767.8630000000003,3442.971
Oakwood-Vaughan,2014,January,,5,3.192,663,0.399,1.2000000000000002,137.655,8124.039000000001,1276.0020000000002
Humewood-Cedarvale,2014,January,,3,1.596,506,0.049875,0.75,49.476,4186.308,7309.68
Casa Loma,2014,January,,6,1.995,703,0.249375,2.2727272727272725,239.40000000000003,6283.053,3099.0330000000004
Forest Hill South,2014,January,,3,3.192,688,0.7093333333333334,0.23684210526315788,122.094,7363.944,2801.7780000000002
Yonge-St.Clair,2014,January,,1,1.596,766,1.1400000000000001,0.9090909090909092,115.71000000000001,3254.244,1908.018
Bay Street Corridor,2014,January,,4,3.192,680,0.969,1.909090909090909,138.85200000000003,5819.415,7980.399
Rosedale-Moore Park,2014,January,,1,3.192,784,0.9753333333333335,0.7777777777777778,69.825,5265.603,15948.828000000001
Church-Yonge Corridor,2014,January,,5,1.596,530,1.147125,1.7647058823529413,121.296,5094.033,14403.900000000001
Caledonia-Fairbanks,2014,January,,6,3.591,518,1.2413333333333334,0.10526315789473684,21.945,5283.957,9123.135
North St.James Town,2014,January,,3,3.192,599,0.3546666666666667,0.8205128205128205,81.79500000000002,5721.66,4117.68
Cabbagetown-South St.James Town,2014,January,,6,2.793,734,1.1083333333333334,2.25,0.0,2405.9700000000003,24309.474000000002
Moss Park,2014,January,,1,2.394,623,0.684,1.92,0.0,3209.556,17467.821
Regent Park,2014,January,,5,1.995,536,0.1995,0.2272727272727273,0.0,6074.376,6693.624000000001
Playter Estates-Danforth,2014,January,,8,1.596,511,1.09725,1.391304347826087,193.51500000000001,3617.733,9797.046
South Riverdale,2014,January,,2,3.192,505,0.5700000000000001,0.6923076923076923,43.89,2009.364,21520.065000000002
North Riverdale,2014,January,,4,2.394,602,0.28500000000000003,0.967741935483871,0.0,1188.222,16405.284
Blake-Jones,2014,January,,4,2.394,747,1.71,3.15,40.698,1498.2450000000001,8661.891
Danforth Village - Toronto,2014,January,,6,3.192,640,1.1400000000000001,1.1666666666666667,79.00200000000001,6729.534000000001,9673.356
Broadview North,2014,January,,4,1.995,778,1.254,2.2857142857142856,210.67200000000003,3228.309,16773.96
Old East York,2014,January,,2,3.99,675,0.947625,1.1111111111111112,155.61,5085.255,20795.88
Danforth Village - East York,2014,January,,4,2.394,585,0.29925,0.5294117647058824,15.96,1163.085,24190.971
Greenwood-Coxwell,2014,January,,3,3.192,746,0.847875,0.4444444444444444,175.56,2639.784,23306.388000000003
Woodbine Corridor,2014,January,,6,3.99,539,0.798,0.0,208.27800000000002,8342.691,15389.031
Maple Leaf,2014,January,,3,2.394,588,0.349125,0.02702702702702703,39.501000000000005,656.355,12155.535
Beechborough-Greenbrook,2014,January,,2,1.596,625,0.798,2.2222222222222223,0.0,3000.8790000000004,16259.25
Keelesdale-Eglinton West,2014,January,,2,2.394,622,0.044333333333333336,0.0,92.56800000000001,8159.9490000000005,6598.662
Briar Hill-Belgravia,2014,January,,4,1.596,671,1.1526666666666667,0.7142857142857142,10.374,6641.754,23329.530000000002
Yorkdale-Glen Park,2014,January,,1,1.995,523,1.064,2.7777777777777777,126.882,176.757,24002.643
Forest Hill North,2014,January,,6,2.793,508,1.2856666666666667,2.25,0.0,1816.6470000000002,18328.464
Englemount-Lawrence,2014,January,,2,1.596,732,1.425,0.5454545454545454,25.137,1471.911,4470.396000000001
