location,year,month,day,properties_sold,avg_price,avg_sqr_ft,walk_score,interest_score,pop_increase,city_investment,private_investment
Trinity-Bellwoods,2014,January,,2,2.793,623,0.5763333333333334,0.4444444444444444,65.436,1564.0800000000002,5395.677000000001
West Humber-Clairville,2014,January,,1,2.793,767,1.1526666666666667,1.3333333333333333,0.0,7084.644,14968.086000000001
Mount Olive-Silverstone-Jamestown,2014,January,,5,1.596,751,0.399,1.2272727272727273,0.0,7345.59,21028.497
Humber Summit,2014,January,,4,1.596,677,0.3546666666666667,0.8888888888888888,7.98,6449.835,4129.251
Thistletown-Beaumond Heights,2014,January,,6,1.596,624,0.456,0.2857142857142857,30.324,3136.1400000000003,15707.832
Humbermede,2014,January,,2,3.591,695,1.254,5.0,65.83500000000001,1408.8690000000001,15699.852
Rexdale-Kipling,2014,January,,8,3.192,587,1.254,0.125,67.03200000000001,8276.457,1849.7640000000001
Elms-Old Rexdale,2014,January,,3,2.793,609,0.855,2.8125,79.80000000000001,3837.981,3793.692
Pelmo Park-Humberlea,2014,January,,1,3.192,697,1.3965,2.4615384615384617,97.35600000000001,2648.5620000000004,11369.106
Downsview-Roding-CFB,2014,January,,8,1.596,621,1.5390000000000001,1.3846153846153846,0.0,5010.243,3644.067
Kingsview Village-The Westway,2014,January,,4,2.793,686,0.9310000000000002,0.8,15.561,2252.754,16618.749
Weston,2014,January,,1,1.995,719,0.1995,0.0,54.264,1111.2150000000001,20294.337
Rustic,2014,January,,8,2.793,626,1.064,0.47058823529411764,0.0,3386.712,8695.806
Humber Heights-Westmount,2014,January,,7,3.591,526,1.596,1.3611111111111112,68.628,645.183,3778.1310000000003
Brookhaven-Amesbury,2014,January,,2,1.596,631,0.8866666666666667,0.02564102564102564,59.85,7654.8150000000005,11967.606
Mount Dennis,2014,January,,2,2.394,731,0.448875,0.7,16.359,1560.489,9353.358
Willowridge-Martingrove-Richview,2014,January,,6,3.99,521,0.29925,3.1818181818181817,187.53,8061.795,22281.357
Princess-Rosethorn,2014,January,,8,3.99,527,0.28500000000000003,1.7999999999999998,110.12400000000001,5827.395,7010.43
Eringate-Centennial-West Deane,2014,January,,6,3.192,636,0.057,0.8999999999999999,150.024,8003.9400000000005,9317.448
Edenbridge-Humber Valley,2014,January,,7,2.793,702,0.448875,1.8461538461538463,89.775,6747.888,3952.494
Rockcliffe-Smythe,2014,January,,1,3.192,506,1.33,2.0,129.276,7702.695000000001,3696.735
Markland Woods,2014,January,,4,2.394,718,0.627,1.2857142857142856,41.894999999999996,7170.030000000001,9382.485
Etobicoke West Mall,2014,January,,3,2.793,664,0.171,0.3870967741935484,48.678000000000004,7553.868,7358.7570000000005
Islington-City Centre West,2014,January,,2,3.192,670,0.9310000000000002,2.0,0.0,6129.039000000001,19241.775
Alderwood,2014,January,,8,1.995,504,1.0196666666666667,0.27586206896551724,31.122,5329.044,7225.491
Long Branch,2014,January,,1,3.192,523,1.254,2.0,0.0,3956.4840000000004,16683.387000000002
New Toronto,2014,January,,6,3.99,765,1.49625,1.1111111111111112,19.152,2371.656,23667.084000000003
Mimico,2014,January,,2,2.394,690,1.4820000000000002,2.727272727272727,79.80000000000001,6889.134,23631.972
Stonegate-Queensway,2014,January,,6,3.99,645,0.149625,1.0384615384615385,76.608,2555.196,258.153
Kingsway South,2014,January,,6,3.99,780,1.29675,0.2962962962962963,0.0,4079.775,23754.465
Lambton Baby Point,2014,January,,4,3.591,713,1.49625,1.2,62.244,1448.769,521.892
High Park-Swansea,2014,January,,1,1.596,764,0.049875,0.4166666666666667,199.50000000000003,4784.01,11780.076000000001
Runnymede-Bloor West Village,2014,January,,2,3.192,641,1.1526666666666667,1.4705882352941178,21.945,1931.5590000000002,16568.475000000002
High Park North,2014,January,,3,1.995,610,1.0830000000000002,3.6842105263157894,32.718,2522.079,23355.465
